plot	feature	tissue	feature_ID	non_redundant_feature_ID	platform	training_q	female_1w	female_2w	female_4w	female_8w	male_1w	male_2w	male_4w	male_8w		
	METAB;KIDNEY;Hydroxyproline	KIDNEY	Hydroxyproline	NA	metab-t-amines	4.26E-04	-3.16678	-3.42213	-4.55428	-3.25486	-2.72971	-4.17863	-0.14069	-2.14456		
	METAB;LIVER;Hydroxyproline	LIVER	Hydroxyproline	NA	metab-t-amines	3.00E-05	-1.27693	-2.7116	-3.01526	-0.32662	-4.54935	-5.34875	0.30449	-0.58386		
	METAB;SKM-GN;Hydroxyproline	SKM-GN	Hydroxyproline	NA	meta-reg	6.86E-05	-0.33176	-1.89354	-4.20555	-3.03685	-1.72739	-3.12085	-1.25873	-4.76841		
	METAB;HEART;Hypoxanthine	HEART	Hypoxanthine	NA	meta-reg	1.55E-02	0.33425	-0.03273	-0.97517	0.53318	-1.7451	-2.93749	-2.8362	-1.59149		
	METAB;HIPPOC;Hypoxanthine	HIPPOC	Hypoxanthine	NA	meta-reg	2.56E-07	-1.07073	0.09649	-1.95117	-1.39424	-2.74066	-4.54242	-4.56418	-0.6191		
X	METAB;LIVER;Hypoxanthine	LIVER	Hypoxanthine	NA	meta-reg	0.00E+00	1.21953	1.61966	0.83987	1.16615	-2.7135	-0.98183	-2.0323	-0.01684		
	METAB;LUNG;Hypoxanthine	LUNG	Hypoxanthine	NA	meta-reg	1.70E-03	2.4161	1.16407	-1.14633	2.01513	-1.96456	-0.46309	-1.62282	-3.39733		
X	METAB;WAT-SC;Hypoxanthine	WAT-SC	Hypoxanthine	NA	meta-reg	0.00E+00	0.01125	0.84646	-1.34504	-1.48332	-0.48512	-0.27078	-0.14075	-1.45359		
	METAB;KIDNEY;IMP	KIDNEY	IMP	NA	metab-u-ionpneg	2.98E-06	6.95635	6.64559	0.92711	-0.54255	2.62943	1.85803	1.80808	1.21352		
	METAB;BAT;Ile-Pro	BAT	Ile-Pro	NA	metab-u-rppos	2.73E-02	3.69563	3.37809	2.86322	2.0424	1.60065	1.5369	0.21964	-1.49462		
	METAB;HIPPOC;Ile-Pro	HIPPOC	Ile-Pro	NA	metab-u-rppos	4.01E-02	0.15945	0.72992	0.18958	-0.2321	-1.43769	-2.53449	-2.17173	1.91161		
	METAB;WAT-SC;Ile-Val	WAT-SC	Ile-Val	NA	metab-u-rppos	9.47E-03	-0.05594	0.80971	-0.50375	0.86761	-3.32389	-3.00668	-4.0708	0.26157		
	METAB;PLASMA;Indolelactic acid	PLASMA	Indolelactic acid	NA	meta-reg	4.41E-02	1.76317	3.0995	1.58016	2.43597	1.34311	-0.21622	1.97774	0.30166		
	METAB;BAT;Inosine	BAT	Inosine	NA	meta-reg	7.09E-08	-2.47106	-2.36567	4.01707	2.18826	-0.54922	-2.80734	-1.32392	1.34236		
	METAB;HIPPOC;Inosine	HIPPOC	Inosine	NA	meta-reg	1.73E-02	-1.69791	-1.26162	-0.73334	-0.09733	-2.25674	-3.28587	-3.09916	0.11474		
X	METAB;LIVER;Inosine	LIVER	Inosine	NA	meta-reg	9.54E-13	3.35739	4.62204	3.64061	3.9273	-2.90278	-1.48154	-3.15813	1.41304		
	METAB;LUNG;Inosine	LUNG	Inosine	NA	meta-reg	2.38E-04	2.14519	3.46119	1.97111	2.67936	-1.26922	-0.53159	-1.74306	-2.08425		
	METAB;HEART;Isocitrate	HEART	Isocitrate	NA	metab-t-tca	9.77E-07	3.29674	3.28326	3.35036	0.62089	5.14311	5.47357	2.90186	-1.3272		
	METAB;LIVER;Isocitrate	LIVER	Isocitrate	NA	metab-t-tca	7.77E-10	5.25506	3.41287	3.6274	-1.55728	4.42324	5.02248	0.53511	-0.78123		
	METAB;LUNG;Isocitrate	LUNG	Isocitrate	NA	metab-t-tca	4.70E-02	2.95436	1.48522	1.38529	1.00818	1.72657	0.71401	-1.83154	-0.60879		
	METAB;SKM-GN;Isocitrate	SKM-GN	Isocitrate	NA	metab-t-tca	2.33E-04	-1.70171	-1.88549	-2.32893	2.07463	-2.45403	-1.22902	1.00063	1.92157		
	METAB;HEART;Isoleucine	HEART	Isoleucine	NA	meta-reg	4.25E-05	0.00387	1.18501	-1.30113	1.33035	-3.19671	-2.93872	-2.9147	2.78678		
X	METAB;WAT-SC;Isoleucine	WAT-SC	Isoleucine	NA	meta-reg	0.00E+00	0.67369	2.65311	0.46646	1.02878	0.32866	1.02865	-0.06437	2.7406		
	METAB;BAT;Ketoglutarate	BAT	Ketoglutarate	NA	metab-t-tca	1.74E-02	NA	NA	NA	NA	NA	NA	NA	NA		
	METAB;HIPPOC;Ketoglutarate	HIPPOC	Ketoglutarate	NA	metab-t-tca	2.14E-02	2.45688	1.44288	4.28945	0.38405	1.41869	1.67863	-1.0137	0.61846		
	METAB;LUNG;Ketoglutarate	LUNG	Ketoglutarate	NA	metab-t-tca	5.30E-06	-1.48458	-2.86253	-0.59256	0.20396	-6.15046	-5.89663	-0.92727	0.49244		
	METAB;SKM-GN;Ketoglutarate	SKM-GN	Ketoglutarate	NA	metab-t-tca	1.13E-07	-3.72898	-2.79921	-3.89511	0.53358	-4.88733	-6.41829	-0.3555	-1.94976		
	METAB;HEART;Ketoleucine	HEART	Ketoleucine	NA	meta-reg	3.54E-03	2.43225	3.43777	0.56748	0.63174	-0.3605	0.8605	-0.50504	-0.31187		
	METAB;LIVER;Ketoleucine	LIVER	Ketoleucine	NA	meta-reg	2.51E-02	-1.39651	-1.96751	0.56164	2.71055	-1.80379	-1.82138	-0.6858	-0.35761		
	METAB;SKM-GN;Ketoleucine	SKM-GN	Ketoleucine	NA	meta-reg	8.65E-05	-2.81946	-2.05135	-3.71023	-1.15889	1.81192	1.02082	1.9477	1.68676		
	METAB;WAT-SC;Ketoleucine	WAT-SC	Ketoleucine	NA	meta-reg	8.76E-03	-2.19499	0.59252	-0.3616	2.33595	-0.02574	-0.92451	-0.54763	3.62514		
X	METAB;LUNG;Kynurenic acid	LUNG	Kynurenic acid	NA	meta-reg	0.00E+00	0.8317	-0.85671	-1.2311	0.14351	0.31926	0.80043	0.62867	1.04873		
	METAB;SKM-GN;Kynurenic acid	SKM-GN	Kynurenic acid	NA	meta-reg	4.94E-03	3.24669	-0.89964	1.63908	2.19175	2.03549	0.13256	1.83213	1.32651		
	METAB;WAT-SC;Kynurenic acid	WAT-SC	Kynurenic acid	NA	meta-reg	3.26E-02	-0.56596	0.67833	0.18356	2.20437	-2.58144	-0.70002	0.14966	2.80094		
	METAB;ADRNL;L-alpha-glutamyl-L-Lysine	ADRNL	L-alpha-glutamyl-L-Lysine	NA	metab-u-hilicpos	4.18E-05	5.22244	4.36364	-0.07929	-1.8563	-1.30682	-0.26852	-2.69422	-0.86945		
	METAB;COLON;L-alpha-glutamyl-L-Lysine	COLON	L-alpha-glutamyl-L-Lysine	NA	metab-u-hilicpos	2.68E-02	2.4005	1.77729	0.42983	-1.90244	0.5074	0.88728	-0.27924	0.03562		
	METAB;PLASMA;L-alpha-glutamyl-L-Lysine	PLASMA	L-alpha-glutamyl-L-Lysine	NA	metab-u-hilicpos	3.97E-06	4.00386	4.16002	-0.81615	-2.05297	2.32537	2.39504	-0.32894	-1.43622		
	METAB;PLASMA;LPC(0:0/20:2)_feature1	PLASMA	LPC(0:0/20:2)_feature1	NA	metab-u-lrppos	3.52E-03	-1.44444	-0.49706	1.87448	2.55856	0.18583	0.80622	-0.3851	3.16032		
	METAB;BAT;LPC(14:0)	BAT	LPC(14:0)	NA	meta-reg	2.26E-08	-3.07743	-3.27785	-2.32689	-1.27497	-3.6042	-4.46334	-0.79087	1.57537		
	METAB;HEART;LPC(14:0)	HEART	LPC(14:0)	NA	meta-reg	8.25E-06	-2.92538	-3.25597	-0.47207	1.57902	-1.23781	-1.78072	-0.57665	4.36138		
	METAB;HIPPOC;LPC(14:0)	HIPPOC	LPC(14:0)	NA	meta-reg	7.65E-03	-1.70089	-1.39108	-0.40919	1.57438	-0.85425	-3.56156	-2.32462	1.04423		
	METAB;KIDNEY;LPC(14:0)	KIDNEY	LPC(14:0)	NA	meta-reg	1.31E-02	-0.17932	-0.94462	0.15316	1.97596	0.78105	0.32689	0.82619	2.87931		
	METAB;LIVER;LPC(14:0)	LIVER	LPC(14:0)	NA	meta-reg	1.58E-04	-1.69464	-2.60315	-0.76998	0.86041	-1.18171	-2.37725	-0.70135	3.47703		
	METAB;LUNG;LPC(14:0)	LUNG	LPC(14:0)	NA	meta-reg	3.53E-05	-2.30853	-2.9572	-0.47451	2.2376	-1.41159	-1.81714	0.02449	2.08806		
	METAB;PLASMA;LPC(14:0)	PLASMA	LPC(14:0)	NA	meta-reg	2.21E-04	-3.49548	-2.77521	-0.46591	2.22845	1.36271	-0.72072	0.9056	2.7693		
	METAB;SKM-GN;LPC(14:0)	SKM-GN	LPC(14:0)	NA	meta-reg	3.72E-03	-0.69376	-1.92887	0.92444	1.14452	-0.09663	0.56486	1.69085	3.73394		
	METAB;WAT-SC;LPC(14:0)	WAT-SC	LPC(14:0)	NA	meta-reg	6.63E-04	-2.32147	-1.02351	1.49333	1.96396	1.41296	0.16522	1.6223	4.03431		
	METAB;PLASMA;LPC(14:0)_feature1and2	PLASMA	LPC(14:0)_feature1and2	NA	metab-u-lrpneg	4.41E-03	-0.48107	-1.02653	0.04951	3.07286	0.57182	-0.43753	0.83988	3.04261		
	METAB;PLASMA;LPC(14:0/0:0)_and_LPC(0:0/14:0)_feature1and2	PLASMA	LPC(14:0/0:0)_and_LPC(0:0/14:0)_feature1and2	NA	metab-u-lrppos	9.12E-05	-0.65651	-0.01417	1.56954	2.98036	0.37128	0.71505	0.6228	5.76733		
	METAB;SKM-GN;LPC(15:0)	SKM-GN	LPC(15:0)	NA	metab-u-rppos	1.10E-02	-1.24089	-1.57396	1.24732	1.3918	-1.52548	-1.20469	-0.68809	2.2484		
	METAB;LIVER;LPC(15:0)>LPC(15:0/0:0)_and_LPC(0:0/15:0)_feature1and2	LIVER	LPC(15:0)>LPC(15:0/0:0)_and_LPC(0:0/15:0)_feature1and2	NA	metab-u-lrppos	1.21E-02	-0.66464	-0.82526	0.44469	-1.63307	-0.53571	0.04439	2.02994	4.0106		
	METAB;HEART;LPC(15:0)_rp_a	HEART	LPC(15:0)_rp_a	NA	metab-u-rppos	3.73E-03	-0.35602	-0.47074	0.72914	2.15665	-2.37197	-3.56873	-1.12906	1.30171		
	METAB;PLASMA;LPC(15:0/0:0)_and_LPC(0:0/15:0)_feature1and2	PLASMA	LPC(15:0/0:0)_and_LPC(0:0/15:0)_feature1and2	NA	metab-u-lrppos	4.73E-02	2.60292	2.78145	2.79033	2.04648	0.93423	1.3009	-0.03308	2.76625		
	METAB;KIDNEY;LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_2M+H2CO2_feature1and2	KIDNEY	LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_2M+H2CO2_feature1and2	NA	metab-u-lrpneg	8.34E-03	-3.28449	-3.34933	-1.00681	0.58361	-0.46579	-0.24214	0.53653	2.0155		
	METAB;BAT;LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_M+H2CO2_feature1and2	BAT	LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_M+H2CO2_feature1and2	NA	metab-u-lrpneg	3.56E-02	-3.28166	-3.37701	-3.21441	-1.69137	-2.82695	-1.28082	-0.29291	1.45341		
	METAB;SKM-GN;LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_M+H2CO2_feature1and2	SKM-GN	LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_M+H2CO2_feature1and2	NA	metab-u-lrpneg	3.95E-02	-3.6022	-3.40552	-0.59697	-1.83089	-0.26267	-0.49262	0.48101	1.68474		
	METAB;LIVER;LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	LIVER	LPC(16:0)>LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	NA	metab-u-lrppos	4.98E-04	-1.98782	-1.23901	0.39833	-0.34041	-1.62626	0.96133	-1.54024	4.55139		
	METAB;HEART;LPC(16:0)>LPC(16:0/0:0)_feature2	HEART	LPC(16:0)>LPC(16:0/0:0)_feature2	NA	metab-u-lrppos	4.10E-03	-1.60269	-0.94469	1.01126	0.23927	-1.65755	-0.19438	0.4634	3.71655		
	METAB;KIDNEY;metab-u-lrppos:LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	KIDNEY	LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	metab-u-lrppos:LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	metab-u-lrppos	8.22E-03	-3.10515	-2.01666	-1.2109	0.03238	-0.69113	-1.23764	0.23264	2.75317		
	METAB;WAT-SC;metab-u-lrppos:LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	WAT-SC	LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	metab-u-lrppos:LPC(16:0/0:0)_and_LPC(0:0/16:0)_feature1and2	metab-u-lrppos	3.60E-02	1.18139	2.16592	0.14418	1.81665	1.554	1.2788	0.74446	3.9522		
	METAB;PLASMA;LPC(16:0/0:0)_feature2	PLASMA	LPC(16:0/0:0)_feature2	NA	metab-u-lrppos	2.86E-02	2.49901	3.443	3.17779	1.60464	0.23335	1.38132	-0.91424	1.71156		
X	METAB;BAT;LPC(16:1)	BAT	LPC(16:1)	NA	meta-reg	8.28E-21	-4.86884	-4.89776	-4.05177	-3.14526	-4.54184	-5.02768	-2.03394	0.88324		
X	METAB;HEART;LPC(16:1)	HEART	LPC(16:1)	NA	meta-reg	4.39E-11	-3.56221	-3.69812	-1.58499	0.75728	-1.36489	-1.9851	-0.57404	4.64959		
	METAB;HIPPOC;LPC(16:1)	HIPPOC	LPC(16:1)	NA	meta-reg	9.93E-04	-1.41483	-1.60907	0.43109	0.83613	-0.44991	-1.30834	0.17816	0.65068		
	METAB;KIDNEY;LPC(16:1)	KIDNEY	LPC(16:1)	NA	meta-reg	1.30E-03	-0.29457	-1.50849	-0.09509	1.44969	0.51807	0.1592	0.6294	3.54056		
	METAB;LIVER;LPC(16:1)	LIVER	LPC(16:1)	NA	meta-reg	2.19E-09	-2.65297	-3.71029	-1.52316	0.40369	-2.50826	-3.63198	-1.57779	3.79746		
	METAB;LUNG;LPC(16:1)	LUNG	LPC(16:1)	NA	meta-reg	4.08E-08	-1.14807	-3.65597	0.20603	2.27983	-2.99507	-2.60253	-1.70733	3.93248		
	METAB;PLASMA;LPC(16:1)	PLASMA	LPC(16:1)	NA	meta-reg	1.38E-07	-4.42402	-4.70713	-1.26459	0.86937	0.32539	-1.27061	0.97812	3.24745		
	METAB;SKM-GN;LPC(16:1)	SKM-GN	LPC(16:1)	NA	meta-reg	1.22E-03	-1.67531	-3.59085	0.7695	0.76484	-1.45264	-0.85524	0.57026	3.46638		
	METAB;WAT-SC;LPC(16:1)	WAT-SC	LPC(16:1)	NA	meta-reg	1.36E-04	-2.85434	-2.9526	0.49949	1.04013	0.3442	-0.94678	0.87418	4.25448		
	METAB;BAT;LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	BAT	LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	NA	metab-u-lrppos	1.23E-02	-2.71124	-2.98272	-3.03928	-1.46674	-2.94935	-3.88084	-1.14571	0.7637		
	METAB;HEART;LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	HEART	LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	NA	metab-u-lrppos	1.51E-03	-2.31978	-2.36662	0.88032	0.14658	-1.02806	-2.74183	-0.72072	2.16728		
	METAB;LIVER;LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	LIVER	LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	NA	metab-u-lrppos	1.64E-02	-2.34577	-2.03665	-1.74793	-0.3554	-1.97465	0.19535	-0.96673	2.3565		
	METAB;LUNG;LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	LUNG	LPC(16:1)>LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	NA	metab-u-lrppos	6.72E-03	0.28661	-2.39573	-2.17346	1.75385	-0.5369	-0.21383	0.22308	2.3911		
	METAB;PLASMA;LPC(16:1)_feature2	PLASMA	LPC(16:1)_feature2	NA	metab-u-lrpneg	3.50E-03	-1.0917	-1.51602	-0.13144	2.3172	0.36461	-0.37189	0.94524	3.62798		
	METAB;PLASMA;LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	PLASMA	LPC(16:1/0:0)_and_LPC(0:0/16:1)_feature1and2	NA	metab-u-lrppos	1.65E-04	-0.86952	-1.15213	1.02806	1.99926	0.449	0.74181	1.20912	5.80228		
	METAB;HEART;LPC(17:0)>LPC(17:0/0:0)_and_LPC(0:0/17:0)_feature1and2	HEART	LPC(17:0)>LPC(17:0/0:0)_and_LPC(0:0/17:0)_feature1and2	NA	metab-u-lrppos	1.03E-02	-0.88686	0.01549	1.17597	0.24414	-1.53115	-0.1856	0.78561	3.60642		
	METAB;LIVER;LPC(17:0)>LPC(17:0/0:0)_and_LPC(0:0/17:0)_feature1and2	LIVER	LPC(17:0)>LPC(17:0/0:0)_and_LPC(0:0/17:0)_feature1and2	NA	metab-u-lrppos	2.75E-02	-0.59875	0.45963	-0.48342	-0.12119	-1.07347	1.08061	-0.77425	3.49767		
	METAB;HIPPOC;LPC(17:0)_a_b	HIPPOC	LPC(17:0)_a_b	NA	metab-u-rppos	4.31E-02	0.50289	0.01973	-0.15149	-2.23766	-0.65558	-1.94461	-2.0599	1.5605		
	METAB;BAT;LPC(17:0)_rp_a_b	BAT	LPC(17:0)_rp_a_b	NA	metab-u-rppos	2.76E-02	0.38431	2.34461	-0.79373	-1.00222	-0.276	2.29442	1.53294	1.10503		
	METAB;HEART;LPC(17:0)_rp_a_b	HEART	LPC(17:0)_rp_a_b	NA	metab-u-rppos	2.43E-02	-0.51115	0.61337	-0.04853	0.81754	-3.14049	-3.00656	-2.74719	0.69833		
	METAB;WAT-SC;LPC(17:0/0:0)_and_LPC(0:0/17:0)_feature1and2	WAT-SC	LPC(17:0/0:0)_and_LPC(0:0/17:0)_feature1and2	NA	metab-u-lrppos	1.41E-02	1.31518	2.38989	0.0508	1.88728	1.55827	1.21606	1.44236	4.40015		
	METAB;PLASMA;LPC(17:1/0:0)_feature2	PLASMA	LPC(17:1/0:0)_feature2	NA	metab-u-lrppos	4.37E-06	-1.31834	0.22561	2.58217	2.82832	1.38333	2.24589	1.89173	7.24938		
	METAB;HEART;LPC(18:0)>LPC(18:0/0:0)_M+H2CO2_feature2	HEART	LPC(18:0)>LPC(18:0/0:0)_M+H2CO2_feature2	NA	metab-u-lrpneg	5.08E-03	-0.29184	2.08022	1.18082	0.12085	1.27412	4.18661	1.12779	-0.9026		
	METAB;LUNG;LPC(18:0)>LPC(18:0/0:0)_M+H2CO2_feature2	LUNG	LPC(18:0)>LPC(18:0/0:0)_M+H2CO2_feature2	NA	metab-u-lrpneg	2.14E-02	-0.62576	3.0509	0.29828	-0.93747	2.10604	2.7459	1.65246	1.24837		
	METAB;LIVER;LPC(18:0)>LPC(18:0/0:0)_and_LPC(0:0/18:0)_M+H2CO2_feature1and2	LIVER	LPC(18:0)>LPC(18:0/0:0)_and_LPC(0:0/18:0)_M+H2CO2_feature1and2	NA	metab-u-lrpneg	6.62E-04	-0.01717	2.97065	-1.27387	-0.82876	2.02084	3.71049	-0.62692	0.44352		
	METAB;WAT-SC;LPC(18:0)>LPC(18:0/0:0)_and_LPC(0:0/18:0)_feature1and2	WAT-SC	LPC(18:0)>LPC(18:0/0:0)_and_LPC(0:0/18:0)_feature1and2	NA	metab-u-lrppos	2.86E-02	1.39	2.17264	0.8686	2.35171	1.92418	3.26611	2.95025	3.93375		
	METAB;LIVER;LPC(18:0)>LPC(18:0/0:0)_feature2	LIVER	LPC(18:0)>LPC(18:0/0:0)_feature2	NA	metab-u-lrppos	3.66E-02	-1.30257	0.8844	-1.89145	-1.15226	-0.57379	1.64786	-1.83538	0.97075		
	METAB;PLASMA;LPC(18:0)_feature2	PLASMA	LPC(18:0)_feature2	NA	metab-u-lrpneg	3.41E-02	3.06912	3.66116	0.50215	1.05132	1.69207	1.06931	0.26628	-0.18456		
	METAB;PLASMA;LPC(18:0/0:0)_feature2	PLASMA	LPC(18:0/0:0)_feature2	NA	metab-u-lrppos	3.25E-02	2.65984	3.72643	2.3774	2.22491	1.45553	2.13596	-0.76971	0.4939		
	METAB;KIDNEY;LPC(18:1)	KIDNEY	LPC(18:1)	NA	meta-reg	2.90E-02	0.51191	0.17591	0.89316	2.30148	0.56058	0.40777	0.82401	3.30952		
X	METAB;LIVER;LPC(18:1)	LIVER	LPC(18:1)	NA	meta-reg	8.45E-11	-3.5004	-3.30481	-0.81379	-0.03435	-3.18946	-3.05833	-2.32056	2.03003		
	METAB;LUNG;LPC(18:1)>LPC(18:1/0:0)_M+H2CO2_feature2	LUNG	LPC(18:1)>LPC(18:1/0:0)_M+H2CO2_feature2	NA	metab-u-lrpneg	6.66E-05	-2.02391	-0.39918	1.43002	1.47802	-0.06698	0.69299	0.68968	5.78044		
	METAB;LIVER;LPC(18:1)>LPC(18:1/0:0)_and_LPC(0:0/18:1)_M+H2CO2_feature1and2	LIVER	LPC(18:1)>LPC(18:1/0:0)_and_LPC(0:0/18:1)_M+H2CO2_feature1and2	NA	metab-u-lrpneg	3.96E-02	-1.81232	-2.48154	-0.87102	0.04356	-1.95892	-0.15865	-1.87774	1.17916		
	METAB;WAT-SC;LPC(18:1)>LPC(18:1/0:0)_and_LPC(0:0/18:1)_feature1and2	WAT-SC	LPC(18:1)>LPC(18:1/0:0)_and_LPC(0:0/18:1)_feature1and2	NA	metab-u-lrppos	2.05E-02	0.61473	1.54592	-0.16232	0.97716	1.07751	1.47145	0.61922	4.63578		
	METAB;HEART;metab-u-lrppos:LPC(18:1)>LPC(18:1/0:0)_feature2	HEART	LPC(18:1)>LPC(18:1/0:0)_feature2	metab-u-lrppos:LPC(18:1)>LPC(18:1/0:0)_feature2	metab-u-lrppos	2.40E-05	-2.33743	-1.27196	0.83783	0.75174	-3.16065	-1.28325	-1.08447	4.44591		
	METAB;KIDNEY;metab-u-lrpneg:LPC(18:1)>LPC(18:1/0:0)_feature2	KIDNEY	LPC(18:1)>LPC(18:1/0:0)_feature2	metab-u-lrpneg:LPC(18:1)>LPC(18:1/0:0)_feature2	metab-u-lrpneg	4.50E-06	-3.2319	-2.99365	-0.27089	2.14638	-0.73328	-0.36801	-0.04858	4.72891		
	METAB;LIVER;metab-u-lrppos:LPC(18:1)>LPC(18:1/0:0)_feature2	LIVER	LPC(18:1)>LPC(18:1/0:0)_feature2	metab-u-lrppos:LPC(18:1)>LPC(18:1/0:0)_feature2	metab-u-lrppos	4.17E-03	-1.26923	-1.30305	0.24322	0.61814	-2.53932	-0.86831	-2.83815	2.24664		
	METAB;LUNG;metab-u-lrppos:LPC(18:1)>LPC(18:1/0:0)_feature2	LUNG	LPC(18:1)>LPC(18:1/0:0)_feature2	metab-u-lrppos:LPC(18:1)>LPC(18:1/0:0)_feature2	metab-u-lrppos	8.40E-03	-0.59685	-0.77907	-0.21125	1.52947	-1.79111	-0.31361	0.33927	3.39023		
	METAB;HEART;LPC(18:1)_rp_b	HEART	LPC(18:1)_rp_b	NA	metab-u-rppos	3.33E-02	-2.05398	-1.22749	-0.60099	0.61996	-1.93917	-1.87918	-1.72917	1.07375		
	METAB;PLASMA;LPC(18:1/0:0)_feature2	PLASMA	LPC(18:1/0:0)_feature2	NA	metab-u-lrppos	1.69E-03	0.74991	1.72195	2.59292	2.31914	0.65945	2.39295	-0.68032	4.43291		
	METAB;SKM-GN;LPC(18:1/0:0)_feature2	SKM-GN	LPC(18:1/0:0)_feature2	NA	metab-u-lrppos	2.71E-02	-0.72714	1.05612	0.99965	0.02322	-0.01586	0.96939	1.39758	4.14826		
	METAB;KIDNEY;LPC(18:2)>LPC(0:0/18:2)_feature1	KIDNEY	LPC(18:2)>LPC(0:0/18:2)_feature1	NA	metab-u-lrppos	1.75E-02	-3.07747	-2.68202	-1.11831	-2.91322	-0.76237	-1.60833	-0.72239	1.93326		
	METAB;LUNG;LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_M+H2CO2_feature1and2	LUNG	LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_M+H2CO2_feature1and2	NA	metab-u-lrpneg	4.83E-03	-2.1272	-1.67315	-0.1599	0.85669	0.58358	0.49597	0.82052	4.33001		
	METAB;HEART;LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	HEART	LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	NA	metab-u-lrppos	3.81E-03	-3.23747	-2.71355	-0.46185	0.01037	0.06957	-0.55239	1.13804	3.27133		
	METAB;KIDNEY;LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	KIDNEY	LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	NA	metab-u-lrppos	6.42E-03	-2.61909	-3.24101	-0.47301	0.51199	-0.20474	-1.03786	-0.09088	2.34684		
	METAB;LIVER;LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	LIVER	LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	NA	metab-u-lrppos	7.77E-04	-2.25864	-0.85916	0.16807	1.52654	-1.42796	1.42163	-0.35393	3.85378		
	METAB;WAT-SC;LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	WAT-SC	LPC(18:2)>LPC(18:2/0:0)_and_LPC(0:0/18:2)_feature1and2	NA	metab-u-lrppos	2.51E-02	0.68703	0.87599	0.68742	0.85476	0.08467	0.29625	0.74274	4.35205		
	METAB;LUNG;LPC(18:2)_a_b	LUNG	LPC(18:2)_a_b	NA	metab-u-rppos	3.01E-02	-1.79418	-1.5084	-0.15997	0.74377	0.67577	0.21652	2.20453	3.63411		
	METAB;LUNG;LPC(18:2)_b	LUNG	LPC(18:2)_b	NA	metab-u-rppos	2.85E-02	-2.01539	-1.68073	-0.17698	0.44945	1.31878	0.55799	2.83631	3.70519		
	METAB;HEART;LPC(18:2)_rp_a_b	HEART	LPC(18:2)_rp_a_b	NA	metab-u-rppos	6.96E-03	-2.65429	-1.78272	-0.83112	0.7574	-1.01713	-2.64745	-0.83009	1.46518		
	METAB;HEART;LPC(18:2)_rp_b	HEART	LPC(18:2)_rp_b	NA	metab-u-rppos	1.01E-02	-1.98076	-1.61028	-0.93489	0.84143	-1.18075	-1.88079	-0.11562	2.36815		
	METAB;PLASMA;LPC(18:2/0:0)_feature2	PLASMA	LPC(18:2/0:0)_feature2	NA	metab-u-lrppos	1.50E-02	1.22192	1.43095	2.88426	1.94437	2.46797	2.79053	1.66381	4.50923		
	METAB;PLASMA;LPC(18:3/0:0)_and_LPC(0:0/18:3)_feature1and2	PLASMA	LPC(18:3/0:0)_and_LPC(0:0/18:3)_feature1and2	NA	metab-u-lrppos	2.13E-05	0.55192	1.00079	2.39763	3.73648	1.94356	2.82093	2.46355	7.16829		
	METAB;WAT-SC;LPC(19:0)>LPC(0:0/19:0)_feature1	WAT-SC	LPC(19:0)>LPC(0:0/19:0)_feature1	NA	metab-u-lrppos	1.18E-02	0.30662	0.41178	0.4809	0.80914	0.00744	0.09665	0.90965	4.76568		
